Name;Organisation;responsabilities;search;search page;Full URL
Miriam G. Kosowsky;Preferred Physicians Medical Risk Retention Group;Medical Malpractice(100%) Insurance Defense;ELA Medical S A FR;150;http://www.martindale.com/Miriam-G-Kosowsky/664247-lawyer.htm
Teresa Ombres;Preferred Physicians Medical Risk Retention Group;Medical Malpractice(100%) Insurance Defense;ELA Medical S A FR;150;http://www.martindale.com/Teresa-Ombres/570238-lawyer.htm
Zena D. Zumeta;Ann Arbor Mediation Ctr.;Mediation Law Family Law Labor Law;ELA Medical S A FR;150;http://www.martindale.com/Zena-D-Zumeta/701386-lawyer.htm
Debra N. Caligiuri;Debra N. Caligiuri" href="/Law-Mediation-Offices-of-Debra/3436995-law-firm-office.htm">Law & Mediation Offices ofDebra N. Caligiuri;;ELA Medical S A FR;150;http://www.martindale.com/Debra-N-Caligiuri/93680-lawyer.htm
Michael Jonsson;Family Law and Mediation" href="/Michael-Jonsson-Family-Law-Mediation/36065932-law-firm-office.htm">Michael JonssonFamily Law and Mediation;;ELA Medical S A FR;150;http://www.martindale.com/Michael-Jonsson/203354-lawyer.htm
Virgil R. Rizzo;Medical Legal Consultants;Medical Malpractice Law Personal Injury Law;ELA Medical S A FR;150;http://www.martindale.com/Virgil-R-Rizzo/783197-lawyer.htm
Steven R. Sanford;Preferred Physicians Medical Risk Retention Group;Medical Malpractice Insurance Defense;ELA Medical S A FR;150;http://www.martindale.com/Steven-R-Sanford/1012412-lawyer.htm
Tracy C. Lemmon;Lemmon Law Mediation;;ELA Medical S A FR;150;http://www.martindale.com/Tracy-C-Lemmon/157939353-lawyer.htm
Margaret G. Dean;Mediation Services;;ELA Medical S A FR;150;http://www.martindale.com/Margaret-G-Dean/1390684-lawyer.htm
Jonathan H. Schwartz;Schwartz Mediation;;ELA Medical S A FR;160;http://www.martindale.com/Jonathan-H-Schwartz/51417-lawyer.htm
Ralph David Pittle;Medical Legal Consultants of Washington, Inc.;Products Liability Medical Malpractice Personal Injury;ELA Medical S A FR;160;http://www.martindale.com/Ralph-David-Pittle/2199863-lawyer.htm
Adam Daley Wilson;Adam Wilson Mediation;;ELA Medical S A FR;160;http://www.martindale.com/Adam-Daley-Wilson/5037893-lawyer.htm
Ann O. Shake;Adam Wilson Mediation;;ELA Medical S A FR;160;http://www.martindale.com/Ann-O-Shake/581864-lawyer.htm
